"name","value","note","date"
"signFlipRoundedEpsOneHundredGaussianAlphaFive","0\%",NA,2026-09-04
"signFlipEpsOneHundredLaplaceAlphaFive","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredLaplaceAlphaFive","0\%",NA,2026-09-04
"epiParityEpsOneHundredGaussianAlphaTen","97.4\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredGaussianAlphaTen","97\%",NA,2026-09-04
"epiDisparityEpsOneHundredGaussianAlphaTen","2.6\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredGaussianAlphaTen","3\%",NA,2026-09-04
"epiParityEpsOneHundredLaplaceAlphaTen","97.6\%",NA,2026-09-04
"epiParityRoundedEpsOneHundredLaplaceAlphaTen","98\%",NA,2026-09-04
"epiDisparityEpsOneHundredLaplaceAlphaTen","2.4\%",NA,2026-09-04
"epiDisparityRoundedEpsOneHundredLaplaceAlphaTen","2\%",NA,2026-09-04
"epiSignParityEpsOneHundredGaussianAlphaTen","96.3\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredGaussianAlphaTen","96\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredGaussianAlphaTen","3.7\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredGaussianAlphaTen","4\%",NA,2026-09-04
"epiSignParityEpsOneHundredLaplaceAlphaTen","96.6\%",NA,2026-09-04
"epiSignParityRoundedEpsOneHundredLaplaceAlphaTen","97\%",NA,2026-09-04
"epiSignDisparityEpsOneHundredLaplaceAlphaTen","3.4\%",NA,2026-09-04
"epiSignDisparityRoundedEpsOneHundredLaplaceAlphaTen","3\%",NA,2026-09-04
"ciCoverageEpsOneHundredGaussianAlphaTen","98.5\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredGaussianAlphaTen","98\%",NA,2026-09-04
"ciCoverageEpsOneHundredLaplaceAlphaTen","99.1\%",NA,2026-09-04
"ciCoverageRoundedEpsOneHundredLaplaceAlphaTen","99\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredGaussianAlphaTen","0.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredGaussianAlphaTen","0\%",NA,2026-09-04
"epiSignParityFPREpsOneHundredLaplaceAlphaTen","0.4\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsOneHundredLaplaceAlphaTen","0\%",NA,2026-09-04
"signFlipEpsOneHundredGaussianAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredGaussianAlphaTen","0\%",NA,2026-09-04
"signFlipEpsOneHundredLaplaceAlphaTen","0.0\%",NA,2026-09-04
"signFlipRoundedEpsOneHundredLaplaceAlphaTen","0\%",NA,2026-09-04
"epiParityEpsTenGaussianAlphaOne","95.6\%",NA,2026-09-04
"epiParityRoundedEpsTenGaussianAlphaOne","96\%",NA,2026-09-04
"epiDisparityEpsTenGaussianAlphaOne","4.4\%",NA,2026-09-04
"epiDisparityRoundedEpsTenGaussianAlphaOne","4\%",NA,2026-09-04
"epiParityEpsTenLaplaceAlphaOne","92.7\%",NA,2026-09-04
"epiParityRoundedEpsTenLaplaceAlphaOne","93\%",NA,2026-09-04
"epiDisparityEpsTenLaplaceAlphaOne","7.3\%",NA,2026-09-04
"epiDisparityRoundedEpsTenLaplaceAlphaOne","7\%",NA,2026-09-04
"epiSignParityEpsTenGaussianAlphaOne","94.8\%",NA,2026-09-04
"epiSignParityRoundedEpsTenGaussianAlphaOne","95\%",NA,2026-09-04
"epiSignDisparityEpsTenGaussianAlphaOne","5.2\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenGaussianAlphaOne","5\%",NA,2026-09-04
"epiSignParityEpsTenLaplaceAlphaOne","92.9\%",NA,2026-09-04
"epiSignParityRoundedEpsTenLaplaceAlphaOne","93\%",NA,2026-09-04
"epiSignDisparityEpsTenLaplaceAlphaOne","7.1\%",NA,2026-09-04
"epiSignDisparityRoundedEpsTenLaplaceAlphaOne","7\%",NA,2026-09-04
"ciCoverageEpsTenGaussianAlphaOne","98.4\%",NA,2026-09-04
"ciCoverageRoundedEpsTenGaussianAlphaOne","98\%",NA,2026-09-04
"ciCoverageEpsTenLaplaceAlphaOne","96.3\%",NA,2026-09-04
"ciCoverageRoundedEpsTenLaplaceAlphaOne","96\%",NA,2026-09-04
"epiSignParityFPREpsTenGaussianAlphaOne","0.0\%",NA,2026-09-04
"epiSignParityFPRRoundedEpsTenGaussianAlphaOne","0\%",NA,2026-09-04
"epiSignParityFPREpsTenLaplaceAlphaOne","0.1\%",NA,2026-09-04
